idx,x,y,z,yaw,q_x,q_y,q_z,q_w
100,-0.4184,-1.5785,46.8859,0.1644,6.102566366467463e-17,5.0267117423474796e-18,0.08209243262379443,0.996624719995399
110,-2.1146,-0.922,50.6575,0.1091,6.114120064821064e-17,3.3396167369761497e-18,0.05454008027949481,0.9985115821276719
120,-1.9794,-1.1708,50.1558,0.1426,6.107683985893128e-17,4.361088109761784e-18,0.07122197376089405,0.9974604906729901
130,-1.5656,-0.9505,47.9765,0.158,6.10412681757545e-17,4.833532471212316e-18,0.07893757570881024,0.9968795610008341
140,-0.2152,-2.1084,43.1037,0.1846,6.097160185070082e-17,5.644751935582237e-18,0.09218579494940636,0.9957418235715247
150,-1.0184,-0.3848,40.5723,0.1552,6.1048036410414e-17,4.747284180182367e-18,0.07752903422419609,0.9969900946610569
160,0.0839,-1.585,37.6295,0.182,6.097906767226813e-17,5.563520690676612e-18,0.09085918804589457,0.9958637496905088
170,0.3633,-1.5393,37.6219,0.1689,6.101400136426407e-17,5.16634243698813e-18,0.08437277491902381,0.9964342601759855
180,0.7681,-1.5796,37.6198,0.1548,6.104893514763624e-17,4.735712617373215e-18,0.0773400562622693,0.9970047721537489
190,1.0127,-1.5558,37.158,0.1548,6.104906011604373e-17,4.7341013510825894e-18,0.07731374228681535,0.9970068130427232
200,1.0126,-1.5507,37.5446,0.1589,6.10392374673005e-17,4.859109595917961e-18,0.07935528185434465,0.9968463970150152
210,0.965,-1.4487,36.4334,0.1524,6.10545768100511e-17,4.662414310227533e-18,0.07614300406408912,0.997096907492996
220,0.9053,-1.4345,36.4332,0.1534,6.105230262567734e-17,4.692099823890677e-18,0.07662780529304448,0.9970597672436549
230,0.6936,-1.4498,36.4737,0.1535,6.1052172297958e-17,4.693795303919093e-18,0.07665549458320711,0.9970576388304758
